book_id,publishing_year,title,author,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,publisher,units_sold,sales_rank,company_revenue,sales_month
145,2014,The Storied Life of A.J. Fikry,Gabrielle Zevin,3.98,115393,genre fiction,5444.75,3266.85,7.51,Random House LLC,725,328,2177.9,1
146,1939,Mad About Madeline,Ludwig Bemelmans,4.22,156726,genre fiction,712.8,0.0,0.99,"Amazon Digital Services,  Inc.",720,329,712.8,1
147,1937,Think and Grow Rich,Napoleon Hill,4.17,87445,genre fiction,702.9,0.0,0.99,"Amazon Digital Services,  Inc.",710,330,702.9,1
148,1932,Little House In The Big Woods,"Laura Ingalls Wilder, Garth Williams",4.16,165127,genre fiction,697.95,418.77,0.99,"Amazon Digital Services,  Inc.",705,331,279.18,1
149,2004,Jonathan Strange & Mr Norrell,Susanna Clarke,3.8,133683,genre fiction,5593.0,3355.8,7.99,Hachette Book Group,700,332,2237.2,1
150,2001,A Bend in the Road,Nicholas Sparks,4.02,116800,genre fiction,1353.2,811.92,1.99,HarperCollins Publishers,680,333,541.28,1
151,2013,The House of Hades,Rick Riordan,4.54,159774,nonfiction,668.25,400.95,0.99,"Amazon Digital Services,  Inc.",675,334,267.3,1
152,2008,Gone,Michael  Grant,3.85,144606,genre fiction,3678.3,2206.98,5.49,"Amazon Digital Services,  Inc.",670,335,1471.32,1
153,2003,The Wedding,Nicholas Sparks,3.98,118045,genre fiction,658.35,395.01,0.99,"Amazon Digital Services,  Inc.",665,336,263.34,1
154,2005,1776,David McCullough,4.06,130293,genre fiction,7814.4,4688.64,11.84,Random House LLC,660,337,3125.76,1
155,2003,Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,3.98,112167,genre fiction,648.45,0.0,0.99,"Amazon Digital Services,  Inc.",655,338,648.45,1
156,2012,Beautiful Ruins,Jess Walter,3.67,116053,genre fiction,9818.45,5891.07,14.99,Random House LLC,655,338,3927.38,1
157,2006,The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,3.69,110873,genre fiction,3243.5,0.0,4.99,"Amazon Digital Services,  Inc.",650,339,3243.5,1
158,1999,On Writing: A Memoir of the Craft,Stephen King,4.31,131481,genre fiction,1943.5,0.0,2.99,"Amazon Digital Services,  Inc.",650,339,1943.5,1
159,2008,Firefly Lane,Kristin Hannah,4.04,121966,genre fiction,3218.55,0.0,4.99,"Amazon Digital Services,  Inc.",645,340,3218.55,1
160,1987,Sphere,Michael Crichton,3.77,128244,genre fiction,4473.6,2684.16,6.99,Random House LLC,640,341,1789.44,1
161,2008,Love the One You're With,Emily Giffin,3.7,124812,genre fiction,5663.7,3398.22,8.99,Simon and Schuster Digital Sales Inc,630,342,2265.48,1
162,2014,The Silkworm,"Robert Galbraith, J.K. Rowling",4.03,120008,genre fiction,608.85,0.0,0.99,"Amazon Digital Services,  Inc.",615,343,608.85,1
163,1985,The Vampire Lestat,Anne Rice,4.05,141299,genre fiction,603.9,362.34,0.99,"Amazon Digital Services,  Inc.",610,344,241.56,1
164,2011,State of Wonder,Ann Patchett,3.85,124837,genre fiction,1210.0,0.0,2.0,"Amazon Digital Services,  Inc.",605,345,1210.0,1
165,2008,The Silver Linings Playbook,Matthew Quick,4.0,110939,genre fiction,594.0,0.0,0.99,"Amazon Digital Services,  Inc.",600,346,594.0,1
166,1869,Vingt Mille Lieues Sous les Mers,"Jules Verne, Anthony Bonner",3.86,121112,genre fiction,3540.25,0.0,5.95,"Amazon Digital Services,  Inc.",595,347,3540.25,1
167,2005,The Constant Princess,Philippa Gregory,3.88,124786,genre fiction,3564.05,2138.43,5.99,Penguin Group (USA) LLC,595,347,1425.62,1
168,1925,Mrs Dalloway,"Virginia Woolf, Maureen Howard",3.78,136327,genre fiction,1174.1,704.46,1.99,"Amazon Digital Services,  Inc.",590,348,469.64,1
169,2009,Hundra̴ringen som klev ut genom f̦nstret och f̦rsvann,"Jonas Jonasson, Rod Bradbury",3.81,92275,genre fiction,5200.65,3120.39,8.89,Macmillan,585,349,2080.26,1
